ticket_id,vertical,Product,Status,Priority,isSev1,source,predicted_labels
60247413,GFI,Archiver,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60247476,Khoros,Khoros Care,closed,urgent,0,seed,"[""IGNORING_CONTEXT""]"
60248265,IgniteTech,FogBugz,closed,normal,0,random,"[""RESPONSE_DELAYS"", ""PREMATURE_CLOSURE""]"
60248266,IgniteTech,NorthPlains - Xinet,closed,urgent,0,random,"[""RESPONSE_DELAYS"", ""P1_SEV1_MISHANDLING""]"
60250122,Khoros,Khoros Classic Community,hold,normal,0,random,[]
60250271,Khoros,Khoros Marketing,closed,normal,0,random,"[""AI_QUALITY_FAILURES""]"
60250793,IgniteTech,DNN,closed,normal,0,random,[]
60250996,IgniteTech,DNN,closed,normal,0,random,[]
60251281,IgniteTech,Gensym,closed,urgent,0,random,[]
60252140,GFI,LanGuard,closed,urgent,0,seed,"[""IGNORING_CONTEXT"", ""RESPONSE_DELAYS"", ""PREMATURE_CLOSURE""]"
60252864,GFI,Kerio Control,closed,urgent,0,seed,"[""AI_WALL_LOOPING"", ""RESPONSE_DELAYS"", ""P1_SEV1_MISHANDLING""]"
60253689,Khoros,Khoros Generic,closed,normal,0,random,[]
60254579,GFI,Kerio Control,closed,urgent,0,random,"[""AI_WALL_LOOPING"", ""RESPONSE_DELAYS""]"
60256250,Khoros,Khoros Classic Community,closed,normal,0,random,"[""AI_QUALITY_FAILURES""]"
60256854,GFI,LanGuard,closed,normal,0,random,[]
60258400,GFI,LanGuard,closed,high,0,seed,"[""AI_WALL_LOOPING"", ""IGNORING_CONTEXT"", ""PREMATURE_CLOSURE""]"
60258751,Khoros,Khoros Flow,closed,normal,0,random,[]
60258962,GFI,LanGuard,closed,high,0,random,[]
60259640,Khoros,Khoros Classic Community,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60260239,IgniteTech,Gensym,completed,normal,0,random,"[""RESPONSE_DELAYS""]"
60261219,GFI,Kerio Control,closed,low,0,random,"[""AI_QUALITY_FAILURES""]"
60264009,GFI,LanGuard,closed,urgent,0,random,[]
60264202,IgniteTech,Placeable,closed,normal,0,random,[]
60264368,Khoros,Khoros Care,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60264386,Khoros,Khoros Classic Community,closed,low,0,random,[]
60267287,GFI,Archiver,pending,high,0,random,"[""IGNORING_CONTEXT"", ""RESPONSE_DELAYS""]"
60267393,Khoros,Khoros Care,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60268699,GFI,Kerio Connect,closed,low,0,random,[]
60269002,IgniteTech,Placeable,closed,normal,0,random,[]
60269018,GFI,LanGuard,closed,normal,0,random,[]
60270630,IgniteTech,StreetSmart/FFM,closed,normal,0,random,"[""AI_QUALITY_FAILURES"", ""IGNORING_CONTEXT"", ""PREMATURE_CLOSURE""]"
